ID,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
751,3,2,9,5,4943,3,2,2,2,2,4,5,2,100,2,1,4,2,2,6,2,2,3,0,2,3,3,8,83.57272727
766,8,2,5,2,3214,2,1,2,4,4,4,7,4,80,1,4,3,2,2,7,1,2,3,0,3,5,2,6,82.56605333
773,9,4,3,1,4915,3,1,2,2,3,4,9,4,98,1,5,2,2,1,6,2,1,2,0,2,7,4,5,129.5304363
776,7,2,2,1,4331,3,1,2,2,2,4,8,3,100,1,2,1,2,2,6,2,2,1,0,2,4,4,6,224.3550882
777,2,2,5,2,2141,3,2,2,1,1,4,3,2,100,1,1,3,2,1,2,2,2,4,0,3,6,4,7,77.86266667
781,3,2,1,1,5300,3,2,2,5,5,4,4,2,100,1,3,1,2,2,4,2,2,4,0,2,4,3,6,8.901607143
783,5,8,2,1,4994,3,0,0,5,5,4,6,4,100,1,6,1,0,0,6,2,2,1,0,2,6,4,10,44.22555556
788,3,2,4,2,4361,3,2,1,1,1,4,5,3,100,2,10,2,2,1,5,2,2,1,0,2,3,2,1,52.98733333
799,3,9,5,3,140,3,1,2,1,2,4,5,2,90,1,2,3,2,1,4,2,2,3,0,1,3,3,6,44.11057971
804,10,0,2,7,3881,3,1,1,5,4,4,12,995,86,1,1,1,1,1,4,1,1,1,0,3,7,0,2,70.05113133
806,5,2,8,1,5604,3,1,1,3,4,4,5,4,75,1,9,4,2,1,3,1,2,1,0,2,4,3,1,126.368427
808,6,4,3,1,4783,2,1,1,2,3,4,7,4,90,2,10,2,2,1,4,2,2,1,0,3,4,3,3,123.0927231
817,2,2,7,2,3494,2,2,2,2,2,4,3,1,100,2,2,3,2,1,5,2,2,3,0,2,3,2,3,31.2116
823,10,2,3,7,4959,3,2,2,3,6,4,10,995,85,1,2,2,2,1,6,2,2,2,0,2,4,6,6,34.23263643
824,3,2,3,1,5671,3,2,2,6,2,4,3,3,100,1,3,2,2,2,6,2,2,1,0,3,3,2,2,29.04211538
826,3,2,8,1,4910,2,1,2,5,5,4,3,2,40,2,2,4,2,2,5,2,2,1,0,2,4,1,2,19.25714286
827,2,2,8,1,4095,2,1,2,1,2,4,4,2,70,1,2,4,2,2,4,2,2,1,0,2,3,3,7,44.99333333
828,2,1,8,1,6447,3,2,2,2,2,4,4,1,100,1,5,4,2,2,6,2,2,1,0,2,4,4,8,171.1594
829,6,2,5,2,2964,3,2,2,3,3,4,7,7,85,2,5,3,2,2,6,2,2,1,0,1,4,2,6,52.66985294
837,2,2,4,1,5370,1,2,2,5,2,4,2,2,100,2,3,2,2,2,4,2,2,3,0,2,3,3,1,25.29222222
841,3,2,4,2,3983,3,2,2,2,2,4,4,2,100,2,3,2,2,2,1,2,2,1,0,2,3,3,8,68.08734043
849,3,2,7,3,2513,3,2,2,2,2,4,4,2,100,1,2,3,2,2,5,2,2,1,0,2,4,2,6,44.59275362
852,6,0,2,1,4397,2,1,2,3,3,4,6,2,100,1,9,1,2,1,6,2,2,5,0,2,6,0,3,192.1573827
857,2,1,7,3,1896,3,1,2,1,1,4,4,1,100,1,2,3,2,2,4,2,2,1,0,1,4,2,5,70.63566667
873,10,0,2,7,4868,3,2,2,2,4,4,10,995,95,1,7,1,2,2,6,1,2,6,0,3,4,0,7,71.67335467
874,4,5,5,3,1159,2,2,2,5,2,4,3,2,60,2,5,3,2,2,5,2,2,1,0,2,3,1,1,29.42273171
889,4,0,2,1,4552,2,2,2,2,2,4,5,2,75,2,2,1,2,2,1,2,2,2,0,3,4,0,5,87.57264274
892,8,2,7,3,699,2,1,2,3,2,4,8,12,75,1,1,3,2,2,6,2,2,2,2,3,3,3,5,88.62131507
893,4,2,5,2,4054,3,2,2,3,2,4,5,3,65,1,2,3,2,2,1,2,2,1,0,2,4,4,6,113.3703415
902,3,1,3,1,5237,3,1,2,1,2,4,3,1,100,2,10,2,2,1,4,2,2,1,0,2,4,2,6,97.94118644
907,7,0,2,2,3844,3,1,2,2,4,4,9,995,95,1,3,1,2,2,6,1,1,3,0,2,7,0,2,92.82370745
914,4,2,9,1,6569,3,2,2,1,1,4,6,2,100,2,2,4,2,2,6,2,2,1,1,2,4,3,6,49.54613636
