ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
7939,79600,Multifamily Housing,1927,1,100,Whole Building,59,79.8,83.9,1136196.1,318192.6,79600,111.9
7940,85956,Multifamily Housing,1928,1,100,Whole Building,32,142.9,152.2,1107374.9,308926.5,100282,168
7941,62548,Multifamily Housing,1920,1,100,Whole Building,81,68.7,71.9,793143.3,227557.8,62548,98.6
7942,66930,Multifamily Housing,1932,1,100,Whole Building,33,100.7,Not Available,1262987.6,354095.5,74293,141.2
7943,77850,Multifamily Housing,1940,1,100,Whole Building,81,69,72.6,908233.4,259946.1,77850,96.8
7944,65250,Multifamily Housing,1937,1,100,Whole Building,84,72.2,77.4,839696.6,246101,68512,101.4
7945,52500,Multifamily Housing,1920,1,100,Whole Building,Not Available,71.2,74.4,940392.7,275613.3,52500,110.4
7946,51896,Multifamily Housing,1946,1,100,Whole Building,74,88.7,95.9,729144.4,203093.2,51896,122.5
7947,74371,Multifamily Housing,1938,1,100,Whole Building,76,82.5,82.2,1039810.4,298055.1,86766,108.9
7948,67320,Multifamily Housing,1939,1,100,Whole Building,36,102,108.8,1270794.7,359853.5,67320,143.3
7949,68670,Multifamily Housing,1925,1,100,Whole Building,53,97.6,102.8,1060301.9,291546.2,68670,134.8
7950,59077,Multifamily Housing,1933,1,100,Whole Building,61,84.9,89.3,690868.2,197033.2,52668,116.6
7951,87780,Multifamily Housing,1932,1,100,Whole Building,52,86,91,1398438.9,398431.8,102412,118.9
7952,57311,Multifamily Housing,1941,1,100,Whole Building,34,102.4,110.3,817167.1,232385.8,66836,129.7
7953,70800,Multifamily Housing,1941,1,100,Whole Building,19,88.9,89,1782988.5,522564,70780,143.7
7954,58962,Multifamily Housing,1941,1,100,Whole Building,6,138.3,147.4,1144548.6,323380.9,68827,175.4
7955,58232,Multifamily Housing,1938,1,100,Whole Building,75,71.9,77.2,701837.4,200619.3,58232,100.1
