ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC_East,ExWindowHTC_West,ExWindowHTC_South,ExWindowHTC_North,SC_East,SC_West,SC_South,SC_North,RoofHTC,ExWallHTC,OverheadFloorHTC,FloorHTCOuter,exWinAirtightness,HeatingLoad,CoolingLoad
2281,0,changzhou,1,3,8194.9,3,1,0.41,0.35,0.51,0.42,2.7,2.7,2.5,2.5,0.5,0.5,0.47,0.47,0.55,1.33,1.94,0.34,6,39.93,45.58
2290,1,suzhou,7,3,4581,16,6,0.01,0.3,0.03,0.03,2.5,2.5,2.5,2.5,0.7,0.4,0.7,0.7,0.48,1.1,0.57,0.01,7,12.61,7.03
2291,0,taizhou,6,3,16571,5,5,0.25,0.34,0.21,0.3,2.5,2.5,2.5,2.5,0.62,0.62,0.62,0.01,0.529,0.376,1.2,0.799,6,31.92,22.46
230,0,nanjing,3,3,57292,33,2,0.41,0.41,0.95,0.94,1.6,1.6,1.6,1.6,0.38,0.38,0.38,0.38,0.552,0.783,0.781,0.552,4,17.7,74.71
2300,0,suzhou,3,3,5751.7,4,3,0.25,0.27,0.47,0.17,2.5,2.5,2.5,2.5,0.38,0.38,0.38,0.38,0.4,0.72,2.5,2.5,6,96.3,107.99
2301,1,lianyungang,7,2,4633.117,6,6,0.03,0.27,0.03,0.25,2.7,2.6,2.7,2.3,0.6,0.7,0.6,0.83,0.474,0.643,0.851,2.98,5,36.41,22.13
231,1,suzhou,7,3,408.42,6,6,0.02,0.32,0.06,0.18,3.2,3.2,3.2,3.2,0.32,0.84,0.84,0.84,0.43,0.69,2,0.02,4,21.03,0
2310,1,xuzhou,7,2,7209.6,10,0,0.04,0.29,0.04,0.16,2.3,2.3,2.3,2.3,0.83,0.83,0.83,0.83,0.52,0.73,0.66,0.95,6,19.26,35.23
2311,0,taizhou,3,3,28201,1,2,0.03,0.47,0.13,0.52,2.56,2.79,2.77,2.77,0.34,0.56,0.54,0.54,0.36,0.79,1.46,1.46,3,1.82,1.82
2320,1,lianyungang,7,2,10051,6,6,0.34,0.34,0.34,0.34,3.37,3.37,3.37,3.37,0.64,0.64,0.64,0.64,2.3,2.34,0.64,0.5,6,42.15,24.57
2321,1,nantong,7,3,3533.38,5,1,0.01,0.34,0.01,0.23,2.62,2.62,2.62,2.62,0.65,0.65,0.65,0.65,1.54,1.05,0.6,0.01,6,22.87,34.36
2330,0,nanjing,3,3,40312,9,2,0.32,0.37,0.23,0.27,1.79,1.8,1.8,1.8,0.29,0.29,0.29,0.29,0.66,0.81,1.62,1.62,3,73.63,89.19
2331,0,suzhou,3,3,23272.84,5,1,0.48,0.19,1.7,1.7,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,0.12,0.35,0.6,0.35,1,84.5,136.05
2340,1,nanjing,7,3,11694.41,18,2,0.022,0.525,0.443,0.625,0,0,0,0,0.625,0.625,0.625,0.625,0.36,1.12,1.26,1.4,6,14.29,1.95
2341,1,wuxi,7,3,696,3,3,0.02,0.19,0.06,0.1,3,3,3,3,0.75,0.75,0.75,0.75,0.51,0.619,2.98,0.619,4,13.53,11.91
2350,1,taizhou,7,3,3789,2,2,0.29,0.19,0.11,0.12,3.2,3.2,3.2,3.2,0.81,0.81,0.81,0.81,2,0.39,0.58,0.58,4,20.94,37.02
2351,1,suzhou,7,3,655.83,6,6,0.33,0.33,0.33,0.33,3.2,3.2,3.2,3.2,0.84,0.84,0.84,0.84,0.43,0.69,2,0.44,4,20.01,0
2360,0,suzhou,3,3,29650.83,19,9,0.19,0.34,0.41,0.34,2.7,2.7,2.7,2.7,0.46,0.46,0.46,0.46,0.68,0.82,0.35,0.31,3,105.75,125.05
2361,1,lianyungang,7,2,5415.58,6,6,0.25,0.44,0.21,0.34,2.6,2.6,2.6,2.6,0.6,0.6,0.6,0.37,0.478,0.847,1.01,,6,54.65,36.12
2370,1,suzhou,7,3,25466.95,35,2,0.41,0.65,0.72,0.72,1.7,1.7,1.7,1.7,0.14,0.14,0.14,0.14,0.65,0.72,1.7,,6,18.83,20.71
2371,0,xuzhou,3,2,6088.11,4,4,0.34,0.3,0.3,0.25,2.4,2.4,2.4,2.4,0.48,0.48,0.48,0.48,0.42,0.46,0.48,0.46,3,139.62,124.83
2380,0,yancheng,3,3,8395,4,4,0.49,0.49,0.49,0.49,3.2,3.2,3.2,3.2,0.8207,0.8207,0.8207,0.8207,0.52,,,,6,90.51,103.75
2381,1,taizhou,7,3,6714.5,6,6,0.07,0.36,0.05,0.05,3.2,3.2,3.2,3.2,0.84,0.3,0.84,0.84,0.78,1.02,1.33,1.24,6,10.03,10.03
2390,0,wuxi,3,3,3362,4,4,0.01,0.22,0.07,0.31,2.8,2.8,2.8,2.8,0.75,0.75,0.75,0.75,0.4,0.505,0.773,0.514,6,41.63,73.48
2391,0,wuxi,4,3,50016,18,1,0.26,0.04,0.22,0.01,2.4,2.4,2.4,2.4,0.44,0.44,0.44,0.44,0.29,0.57,,,2,18.66,34.11
240,0,suzhou,3,3,2325.15,0,0,0.28,0.83,0.87,0.49,2.7,2.7,2.7,2.7,0.39,0.39,0.39,0.39,0.62,0.92,1.22,0.6,4,1.86,1.86
2400,1,lianyungang,7,2,4726,6,6,0.07,0.37,0.07,0.23,3,3,3,3,0.65,0.65,0.65,0.65,0.494,0.955,1.3,1.43,6,42.67,25.05
2401,1,huaian,7,3,4903,2,2,0.39,0.25,0.11,0.1,3,3,3,3,0.81,0.81,0.81,0.81,1.02,0.95,2.1,2.47,6,25.99,45.42
241,1,xuzhou,7,2,11042.89,16,1,0.21,0.03,0.03,0.21,2.7,2.7,2.7,2.7,0.33,0.33,0.33,0.33,0.466,0.476,0.534,0.03,6,12.91,13.19
2410,0,suzhou,3,3,56334.49,22,1,0.22,0.3,0.22,0.18,2.6,2.6,2.6,2.6,0.33,0.33,0.33,0.33,0.62,0.93,1.49,0.62,6,87.09,120.04
2411,0,wuxi,3,3,43524.63,27,1,0.12,0.45,0.11,0.35,1.8,1.8,1.8,1.8,0.47,0.47,0.47,0.47,0.65,0.82,0.82,1.22,4,40.95,110.91
2420,0,suzhou,3,3,253873,5,5174.3,0.08,0.52,0.42,0.48,2.3,2.3,2.3,2.3,0.84,0.8,0.48,0.85,0.42,0.48,0.52,0.64,3,70.7,111.92
2421,0,huaian,3,3,11875.41,6,1,0.43,0.31,0.17,0.2,2.8,2.8,2.8,2.8,0.43,0.43,0.43,0.43,0.47,0.61,0.61,1.65,3,64.02,113.79
2430,1,suzhou,7,3,3982.22,2,2,0.67,0.67,0.97,0.34,2.8,2.8,2.8,2.8,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,6,29.78,46.24
2431,1,suqian,7,3,3356,2,6,0.37,0.24,0.03,0.03,3,3,3,3,0.37,0.24,0.03,0.03,0.5,0.5,0.5,0.5,4,25.69,38.29
2440,1,suzhou,7,3,4029.6,6,6,0.16,0.1,0.01,0.02,2.9,2.9,2.9,2.9,0.8,0.8,0.8,0.8,0.67,0.94,0.67,0.67,6,20.54,18.46
2441,0,changzhou,3,3,4157.47,2,2,0.83,0.08,0.48,0.02,2.1,2.1,2.1,2.1,0.33,0.33,0.33,0.33,0.35,2.83,0.35,2.84,4,34.06,32.52
2450,1,suzhou,7,3,5911.72,6,6,0.26,0.26,0.01,0.01,2.19,2.19,2.19,2.19,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,6,16.6,26.73
2451,1,taizhou,7,3,8641.68,6,6,0.72,0.04,0.04,0.34,3,3,3,3,0.83,0.83,0.83,0.83,0.62,0.8,0.85,0.83,6,4.03,4.95
2460,1,taizhou,7,3,2588,6,0,0.875,0.789,0.514,0.263,3,3,3,3,0.5,0.58,0.5,0.84,0.613,0.912,0.875,2.98,4,20.82,10.71
2461,1,huaian,7,3,4289,6,6,0.31,0.16,0.12,0.12,2.57,2.57,2.57,2.57,0.82,0.82,0.82,0.82,0.65,1.53,0.83,0.31,6,21.69,39.61
2470,0,suzhou,3,3,46377.05,23,3,0.53,0.77,0.53,0.51,1.7,1.7,1.7,1.7,0.32,0.32,0.32,0.32,0.64,0.61,0.61,1.3,3,94.98,138.11
2471,1,xuzhou,7,2,11661.04,18,1,0.425,0.11,0.11,0.32,2.1,2.1,2.1,2.1,0.84,0.84,0.84,0.84,0.567,0.706,0.851,0.11,6,14.41,10.99
